ISBN,Sale,Score,Price
9791197224003,,,
9791197223389,570,10.0,"12,600"
9791197223334,228,10.0,"13,500"
9791197223327,618,10.0,"13,500"
9791197223303,"1,563",9.8,"12,600"
9791197221972,624,9.2,"12,150"
9791197221514,66,,"14,400"
9791197221507,,9.3,"13,500"
9791197220586,"10,038",9.4,"11,700"
9791197220500,"6,426",9.6,"13,500"
9791197210501,234,9.7,"15,300"
9791197205361,282,9.5,"14,850"
9791197205323,498,8.9,"14,400"
9791197200168,720,10.0,"11,700"
9791197200151,204,10.0,"10,800"
9791197198960,"1,398",9.5,"12,600"
9791197196973,"1,236",9.5,"17,820"
9791197196959,924,9.8,"14,400"
9791197193392,480,8.9,"17,100"
9791197192920,,9.7,"13,320"
9791197187346,978,9.3,"15,120"
9791197187322,924,8.6,"16,020"
9791197184703,"1,020",9.8,"16,200"
9791197182204,"10,524",9.4,"9,900"
9791197180101,,9.2,"13,050"
9791197179167,774,8.8,"14,850"
9791197179143,708,9.3,"14,850"
9791197179136,786,9.5,"14,850"
9791197179129,720,9.6,"14,850"
9791197179112,798,9.1,"14,850"
9791197171826,,9.1,"12,150"
9791197171802,,9.3,"12,600"
9791197163302,654,9.3,"12,600"
9791197159329,36,5.0,"11,700"
9791197159312,36,10.0,"11,700"
9791197157202,420,9.6,"14,220"
9791197156410,"1,158",8.2,"25,200"
9791197155130,774,9.9,"11,700"
9791197148118,12,8.0,"13,770"
9791197145124,12,10.0,"12,600"
9791197145100,24,9.1,"12,600"
9791197141393,420,9.4,"14,400"
9791197141386,204,9.1,"14,400"
9791197139666,"5,712",9.7,"13,320"
9791197137839,12,,"13,500"
9791197137709,504,10.0,"11,700"
9791197127953,132,10.0,"19,500"
9791197126741,"2,268",8.8,"17,820"
9791197126734,"7,917",9.4,"11,700"
9791197126727,330,9.4,"13,500"
9791197121715,"1,203",10.0,"13,500"
9791197120558,"7,428",9.5,"12,150"
9791197120541,"17,415",9.3,"12,150"
9791197116742,126,9.9,"13,500"
9791197104671,132,9.9,"15,750"
9791197103575,372,9.7,"18,000"
9791197103292,480,9.2,"16,200"
9791197103278,222,9.6,"13,050"
9791197103254,576,9.0,"13,500"
9791197103230,198,9.6,"14,850"
9791197103209,390,8.8,"13,500"
9791197101113,72,9.8,"11,700"
9791197092398,"1,824",9.3,"17,100"
9791197092381,"5,949",9.7,"19,800"
9791197090974,945,9.9,"11,700"
9791197090967,"1,452",10.0,"11,700"
9791197090950,684,9.6,"11,700"
9791197090943,606,10.0,"11,700"
9791197090936,612,9.7,"11,700"
9791197090929,678,9.9,"11,700"
9791197087530,"1,746",9.8,"14,310"
9791197085444,48,9.0,"9,000"
9791197080890,,8.8,"12,420"
9791197080869,"1,824",9.3,"12,420"
9791197080852,"1,386",9.8,"12,960"
9791197080845,"10,257",9.6,"12,150"
9791197080838,"3,276",9.4,"11,970"
9791197080821,"6,396",8.5,"13,950"
9791197080807,"3,030",9.7,"12,960"
9791197074653,984,9.6,"18,000"
9791197074615,"26,064",9.6,"18,000"
9791197072925,576,9.9,"12,600"
9791197071812,"13,254",9.5,"25,200"
9791197065996,396,9.6,"13,500"
9791197065989,"6,132",9.6,"13,320"
9791197065941,258,9.8,"13,500"
9791197063275,"7,446",9.2,"14,220"
9791197063268,"3,132",9.3,"14,220"
9791197063251,"1,908",10.0,"14,220"
9791197063244,"1,914",9.9,"14,220"
9791197063237,"1,644",10.0,"14,220"
9791197063220,"1,950",10.0,"14,220"
9791197063213,"2,082",9.9,"14,220"
9791197060236,36,8.9,"13,500"
9791197057250,228,9.2,"14,220"
9791197056116,"1,122",9.8,"11,700"
9791197053481,384,9.7,"8,100"
9791197053474,204,10.0,"8,100"
9791197053450,180,10.0,"8,100"
9791197053436,348,9.7,"8,100"
9791197053412,234,9.9,"8,100"
9791197053191,"3,684",9.9,"14,220"
9791197053177,420,9.7,"17,820"
9791197053122,,9.3,"13,320"
9791197051173,420,8.9,"13,500"
9791197051159,36,9.8,"13,500"
9791197051135,648,9.4,"13,500"
9791197051111,264,9.3,"13,500"
9791197048531,,,"10,800"
9791197047565,"9,330",9.6,"10,800"
9791197047510,522,9.9,"10,350"
9791197046926,,9.6,"9,900"
9791197042027,198,10.0,"10,800"
9791197037153,"22,317",9.2,"13,500"
9791197037146,354,9.6,"13,500"
9791197037122,"8,946",9.6,"13,500"
9791197036736,12,8.0,"12,600"
9791197035258,,9.3,"14,850"
9791197035234,"3,702",9.7,"15,750"
9791197035203,504,8.5,"10,800"
9791197033087,156,,"9,900"
9791197033070,"7,062",10.0,"10,710"
9791197033063,"12,522",8.7,"10,710"
9791197030161,"2,034",9.6,"16,200"
9791197030116,810,9.8,"14,400"
9791197024160,"2,703",9.6,"13,500"
9791197024139,72,9.5,"14,220"
9791197024108,"1,026",9.8,"13,500"
9791197023095,480,9.5,"15,300"
9791197023019,900,9.3,"12,150"
9791197023002,"1,068",9.0,"12,150"
9791197022784,66,9.6,"17,820"
9791197021633,"18,525",9.6,"9,900"
9791197021602,"10,263",9.2,"14,850"
9791197016875,"8,514",9.7,"16,200"
9791197016806,162,8.5,"16,200"
9791197010903,498,9.8,"26,100"
9791197004728,102,10.0,"14,060"
9791197001918,"34,056",8.8,"15,120"
9791196999230,612,9.2,"15,840"
9791196997588,"1,002",9.4,"13,500"
9791196997564,"7,026",9.4,"13,500"
9791196997540,"2,373",8.6,"12,600"
9791196990718,"1,404",9.0,"12,600"
9791196986773,12,9.5,"14,220"
9791196986759,624,9.7,"13,500"
9791196986728,12,9.3,"14,220"
9791196984212,,9.5,"13,500"
9791196981631,"1,401",10.0,"12,600"
9791196981624,972,9.7,"12,600"
9791196981617,"1,302",9.9,"12,600"
9791196981600,"9,474",9.6,"11,700"
9791196977597,36,10.0,"11,700"
9791196977580,12,,"11,700"
9791196975258,"1,458",9.0,"12,600"
9791196975227,588,9.3,"11,700"
9791196974329,"1,476",10.0,"11,700"
9791196971236,,,"11,400"
9791196969660,"1,494",9.5,"13,320"
9791196969639,,,
9791196968243,"11,547",9.5,"16,200"
9791196963804,780,10.0,"12,600"
9791196958817,,8.0,"18,000"
9791196957445,"1,950",9.8,"10,800"
9791196946586,"1,050",8.7,"13,410"
9791196946548,174,9.1,"13,410"
9791196933111,396,9.8,"13,320"
9791196927905,114,9.8,"12,600"
9791196918033,"25,941",8.8,"15,120"
9791196918002,,9.2,"14,220"
9791196914806,"18,228",9.5,"14,400"
9791196893194,"2,676",9.7,"10,800"
9791196893187,"2,772",9.7,"10,800"
9791196893170,"2,370",9.7,"10,800"
9791196893163,720,9.8,"13,500"
9791196893156,"2,274",9.8,"10,800"
9791196893149,"2,310",9.7,"10,800"
9791196893132,"2,046",9.7,"10,800"
9791196893125,"3,360",9.7,"10,800"
9791196893118,"2,208",9.7,"10,800"
9791196888237,132,9.2,"14,220"
9791196875374,,10.0,"21,600"
9791196875367,750,9.9,"16,200"
9791196875350,858,9.8,"12,150"
9791196870522,,9.5,"16,200"
9791196869908,,10.0,"9,900"
9791196866792,420,9.6,"12,600"
9791196858704,,10.0,"15,300"
9791196856489,132,9.4,"14,220"
9791196853112,84,9.6,"12,600"
9791196852900,"6,360",9.5,"15,210"
9791196848194,"30,534",9.6,"15,120"
9791196848101,"1,410",9.2,"14,850"
9791196845391,438,8.9,"21,600"
9791196844875,306,9.6,"11,700"
9791196844851,972,9.8,"11,700"
9791196844837,468,9.7,"10,800"
9791196834005,"120,384",9.6,"17,550"
9791196831080,"8,826",9.6,"15,300"
9791196831073,228,8.2,"19,800"
9791196831059,24,8.8,"15,120"
9791196831035,36,9.0,"16,200"
9791196831011,24,8.8,"15,300"
9791196830755,306,9.8,"10,350"
9791196830748,174,10.0,"11,700"
9791196830700,"6,807",9.7,"9,900"
9791196827816,,,"11,700"
9791196827328,774,9.9,"17,100"
9791196826512,,,
9791196820091,"1,908",9.3,"12,600"
9791196820077,624,9.2,"13,500"
9791196820046,120,10.0,"12,600"
9791196820015,"4,359",9.3,"12,600"
9791196817145,762,10.0,"10,800"
9791196817138,798,10.0,"9,900"
9791196814496,,,
9791196814489,,,
9791196814472,,,
9791196814465,,,
9791196814458,,,
9791196814441,,,
9791196814434,,,
9791196814427,,,
9791196814410,,,
9791196814342,"2,952",8.7,"13,500"
9791196814304,"1,374",9.3,"12,150"
9791196804367,588,9.8,"12,600"
9791196804350,"6,945",10.0,"12,600"
9791196799236,120,9.9,"10,800"
9791196799205,,,
9791196797799,"6,129",9.4,"12,420"
9791196797744,"6,093",9.2,"12,150"
9791196797720,"2,316",8.9,"12,150"
9791196797706,,8.4,"12,150"
9791196793524,"3,060",8.8,"15,120"
9791196790394,534,10.0,"12,820"
9791196790332,"2,664",8.0,"12,820"
9791196782658,24,9.6,"13,410"
9791196782634,12,10.0,"13,500"
9791196780432,372,9.8,"12,600"
9791196780425,102,9.9,"12,600"
9791196780401,"2,796",9.8,"12,600"
9791196775346,"9,963",9.8,"12,600"
9791196775339,306,10.0,"12,600"
9791196773311,,9.7,"12,600"
9791196772093,"1,908",9.7,"12,420"
9791196765897,"1,668",8.4,"18,000"
9791196765866,,8.9,"17,550"
9791196764616,"5,127",9.1,"12,420"
9791196761219,,10.0,"13,500"
9791196756949,"2,280",8.3,"12,600"
9791196756901,"33,702",9.4,"13,950"
9791196750442,156,7.5,"13,500"
9791196748760,48,9.7,"13,500"
9791196748326,264,9.9,"11,700"
9791196739461,372,9.2,"13,500"
9791196732424,78,9.6,"16,020"
9791196722005,918,9.2,"13,500"
9791196721121,216,8.6,"11,700"
9791196720513,72,9.9,"10,800"
9791196719463,762,8.8,"14,400"
9791196719432,96,9.6,"17,820"
9791196719425,"8,550",9.3,"13,320"
9791196719401,126,9.4,"15,120"
9791196716462,210,9.3,"11,700"
9791196716448,"1,134",10.0,"11,700"
9791196716431,"1,122",10.0,"11,700"
9791196716400,"1,146",10.0,"11,700"
9791196716202,156,,"13,320"
9791196714727,342,9.6,"12,600"
9791196714710,126,10.0,"14,400"
9791196714284,144,8.8,"9,000"
9791196713904,,,"10,800"
9791196708788,189,9.9,"16,200"
9791196708764,84,9.2,"22,500"
9791196708740,360,9.8,"12,600"
9791196701864,120,9.8,"13,500"
9791196700515,,9.0,"17,820"
9791196688356,"1,026",9.8,"14,400"
9791196688349,756,9.5,"13,500"
9791196688325,786,9.5,"13,500"
9791196683634,"3,666",9.4,"22,500"
9791196679231,204,9.7,"15,300"
9791196672270,"1,812",9.8,"13,500"
9791196661946,48,9.5,"18,900"
9791196656515,924,9.2,"11,700"
9791196654795,"8,007",9.8,"9,810"
9791196652777,"4,458",9.8,"10,800"
9791196652753,"2,526",9.3,"10,800"
9791196652746,"6,585",9.1,"10,800"
9791196652715,990,10.0,"10,800"
9791196652708,306,10.0,"10,800"
9791196652647,414,9.4,"11,700"
9791196643232,24,,"13,050"
9791196637040,12,9.7,"13,500"
9791196633516,"10,944",9.6,"13,320"
9791196632403,,9.1,"12,420"
9791196632014,,9.1,"9,450"
9791196632007,,9.2,"9,450"
9791196630706,"6,366",9.5,"14,220"
9791196630492,552,9.4,"16,200"
9791196630430,"6,072",9.7,"16,200"
9791196630416,900,9.5,"17,100"
9791196630409,828,8.8,"13,500"
9791196626365,,9.0,"14,400"
9791196625955,"7,044",9.1,"13,500"
9791196625931,696,9.3,"15,750"
9791196625634,,8.9,"14,850"
9791196624088,84,9.5,"14,250"
9791196623296,354,9.9,"10,800"
9791196623289,318,9.7,"10,800"
9791196623241,654,8.8,"10,800"
9791196621957,"11,052",9.0,"14,400"
9791196621087,960,10.0,"10,800"
9791196621070,288,9.9,"11,250"
9791196616045,"1,326",9.3,"12,150"
9791196616007,"2,094",10.0,"21,600"
9791196604417,840,9.4,"16,200"
9791196598976,180,9.8,"10,800"
9791196589158,"4,659",9.1,"10,800"
9791196589141,"2,268",9.2,"13,500"
9791196589134,"2,502",9.4,"13,500"
9791196589103,"9,735",9.3,"15,300"
9791196588588,,,
9791196588502,"6,408",9.3,"14,400"
9791196587147,114,10.0,"11,700"
9791196587109,90,8.0,"10,800"
9791196565251,"1,185",10.0,"13,500"
9791196558109,"5,871",9.4,"15,300"
9791196554842,"1,920",8.7,"15,750"
9791196553500,,,"108,000"
9791196541293,270,10.0,"16,150"
9791196541248,342,,"14,250"
9791196541224,,10.0,"13,300"
9791196535094,"3,000",9.5,"10,800"
9791196535070,396,9.6,"10,800"
9791196534851,24,9.8,"14,850"
9791196533052,"2,244",9.5,"12,600"
9791196533014,234,8.7,"15,120"
9791196533007,"47,730",9.6,"19,800"
9791196524463,"7,725",9.4,"24,300"
9791196524425,852,9.5,"19,800"
9791196524401,786,9.6,"17,100"
9791196520106,,8.0,"12,600"
9791196519605,,9.5,"15,300"
9791196517359,852,9.7,"13,320"
9791196517304,"3,375",9.2,"13,320"
9791196517199,"15,603",9.7,"14,400"
9791196509484,"10,614",9.9,"14,400"
9791196509460,"5,448",9.0,"14,850"
9791196509446,"3,786",9.5,"12,150"
9791196509415,"4,101",9.4,"13,500"
9791196508449,408,10.0,"10,620"
9791196504632,,8.9,"17,100"
9791196498238,96,9.9,"11,700"
9791196495534,492,9.6,"13,500"
9791196486983,"4,944",9.4,"13,050"
9791196484187,"3,870",10.0,"13,500"
9791196484118,522,9.6,"14,400"
9791196477592,,,
9791196464486,,9.4,"16,200"
9791196464110,"1,410",9.2,"12,420"
9791196458737,,9.6,"17,100"
9791196458676,"3,540",9.8,"16,650"
9791196457679,"2,652",9.0,"18,000"
9791196453121,144,8.8,"13,500"
9791196443146,"4,314",10.0,"13,500"
9791196438197,660,9.9,"11,700"
9791196438142,300,9.5,"11,700"
9791196437046,354,9.4,"16,020"
9791196437015,"2,244",9.7,"14,220"
9791196437008,"1,698",9.3,"12,600"
9791196436520,"5,934",9.6,"13,500"
9791196427306,"65,016",9.4,"16,650"
9791196424381,108,9.5,"17,100"
9791196412821,234,9.9,"17,100"
9791196412180,324,9.6,"18,000"
9791196409180,,,
9791196394578,"6,186",8.7,"12,420"
9791196394509,"14,364",7.8,"12,420"
9791196389130,,,"9,900"
9791196381509,972,9.1,"14,220"
9791196376406,672,9.3,"15,120"
9791196371777,"5,436",9.7,"11,700"
9791196349134,312,9.5,"19,800"
9791196347048,"3,534",8.5,"13,500"
9791196339098,"11,082",9.0,"16,200"
9791196337117,,,
9791196335311,132,9.7,"8,550"
9791196335304,180,10.0,"8,550"
9791196334703,"13,194",9.4,"14,400"
9791196316808,"39,657",9.6,"14,850"
9791196312770,,,"22,000"
9791196297435,"1,668",9.8,"14,220"
9791196295561,"2,550",9.6,"12,600"
9791196287825,390,8.7,"8,820"
9791196287801,"1,410",9.2,"18,000"
9791196284886,432,9.4,"11,700"
9791196284800,918,9.7,"13,050"
9791196282219,"1,806",9.5,"12,150"
9791196281243,36,9.5,"14,400"
9791196280239,192,10.0,"12,600"
9791196280123,,8.9,"14,400"
9791196273187,"4,740",9.4,"12,420"
9791196273101,,9.7,"13,050"
9791196269494,408,9.8,"25,200"
9791196260088,,9.4,"9,500"
9791196254803,"4,410",9.9,"13,320"
9791196254087,234,10.0,"12,600"
9791196254056,"5,934",9.6,"12,600"
9791196254032,"1,062",9.5,"15,300"
9791196250515,"2,253",8.2,"13,500"
9791196246600,492,9.4,"12,420"
9791196232160,"5,400",9.7,"9,450"
9791196222642,"7,890",9.4,"11,700"
9791196222635,"8,370",9.3,"11,700"
9791196222628,"63,099",9.1,"11,700"
9791196222611,,9.3,"58,500"
9791196221676,234,9.0,"12,600"
9791196219376,,9.8,"14,400"
9791196219321,"3,288",8.7,"13,320"
9791196219314,"4,563",9.4,"12,420"
9791196219307,,9.4,"16,200"
9791196212063,"3,216",9.8,"10,800"
9791196212049,324,9.6,"10,800"
9791196212001,402,9.9,"11,700"
9791196205607,,8.1,"12,600"
9791196205553,12,9.9,"14,400"
9791196202378,"3,366",9.8,"16,650"
9791196202316,,9.9,"13,500"
9791196201944,"1,170",10.0,"16,200"
9791196199807,948,8.9,"11,250"
9791196192785,,10.0,"12,600"
9791196192761,,,"12,600"
9791196184384,186,9.6,"14,400"
9791196178680,"1,356",9.5,"13,320"
9791196175283,696,9.9,"11,700"
9791196175252,234,10.0,"15,300"
9791196175238,84,9.7,"11,700"
9791196175207,900,9.1,"12,600"
9791196169855,"4,788",9.8,"18,900"
9791196169817,870,9.8,"14,400"
9791196166069,756,9.8,"10,800"
9791196165659,,,
9791196165642,,,
9791196159085,"1,794",9.2,"15,300"
9791196159054,276,8.4,"19,800"
9791196159023,"14,352",9.2,"16,200"
9791196155711,"10,074",9.6,"14,850"
9791196155636,"1,998",9.5,"19,800"
9791196152451,288,9.0,"13,500"
9791196149987,138,8.9,"11,250"
9791196149949,"1,830",9.6,"10,800"
9791196131296,48,,"7,350"
9791196119584,"7,272",9.8,"16,200"
9791196119553,"2,454",9.7,"16,200"
9791196107604,"1,218",10.0,"16,200"
9791196090227,"1,038",9.0,"10,800"
9791196075170,"14,634",9.1,"12,600"
9791196075156,"4,122",9.5,"12,150"
9791196074449,156,6.0,"11,700"
9791196073152,,9.1,"17,100"
9791196073138,"1,452",9.2,"16,200"
9791196073107,"9,456",9.5,"16,200"
9791196067694,"2,142",8.9,"15,120"
9791196067632,"3,630",9.2,"13,500"
9791196067601,960,8.5,"13,500"
9791196063535,,10.0,"28,000"
9791196060329,378,8.5,"13,050"
9791196057787,"1,407",9.5,"19,800"
9791196057770,"1,563",9.4,"19,800"
9791196057732,"2,007",9.5,"19,800"
9791196057725,222,7.5,"14,400"
9791196047535,60,9.3,"14,400"
9791196045555,,9.0,"14,400"
9791196040048,"1,968",8.5,"13,050"
9791196030674,996,8.7,"11,700"
9791196025878,"14,616",9.7,"14,400"
9791196025861,"5,076",9.7,"9,450"
9791196025847,,9.6,"9,450"
9791196025809,,9.6,"9,450"
9791196023980,810,8.0,"12,420"
9791196013288,,,
9791196013271,"2,586",9.6,"10,350"
9791196013226,636,9.8,"9,900"
9791196012748,"2,628",8.9,"11,700"
9791196012663,"1,542",9.8,"12,600"
9791196012656,"31,647",9.7,"10,800"
9791196012649,912,9.8,"10,800"
9791196012618,810,9.9,"10,800"
9791195993772,462,9.4,"11,700"
9791195992287,342,9.4,"11,700"
9791195991464,552,9.5,"9,900"
9791195990900,,9.3,"12,420"
9791195987863,216,4.9,"17,100"
9791195984237,36,9.7,"11,700"
9791195970087,564,9.9,"8,820"
9791195970063,,8.0,"14,220"
9791195963874,54,8.0,"9,000"
9791195963300,"29,568",9.4,"14,220"
9791195949571,"2,268",8.5,"12,420"
9791195938872,"1,242",9.6,"13,500"
9791195936380,"44,532",9.4,"13,500"
9791195906833,,,
9791195901968,"9,480",9.3,"12,600"
9791195887392,"3,402",8.9,"16,200"
9791195887378,,9.2,"19,800"
9791195887347,,9.8,"14,400"
9791195874118,294,9.1,"12,600"
9791195865468,,9.6,"17,820"
9791195857951,30,9.7,"10,800"
9791195857944,498,9.3,"10,800"
9791195857906,648,9.2,"10,800"
9791195843404,,,
9791195807260,,9.2,"12,600"
9791195799121,,9.4,"13,500"
9791195799107,246,9.6,"13,500"
9791195794799,,,
9791195794782,,,
9791195788583,"4,656",8.9,"18,000"
9791195787326,,,
9791195767120,90,9.8,"11,400"
9791195767113,,9.5,"10,450"
9791195760947,"4,812",9.6,"11,250"
9791195754687,54,8.8,"14,400"
9791195752164,282,10.0,"10,800"
9791195752140,306,10.0,"11,700"
9791195752126,720,10.0,"11,700"
9791195748013,"7,734",9.4,"34,200"
9791195747696,"3,621",10.0,"13,140"
9791195747658,264,9.9,"10,800"
9791195738564,"1,260",9.4,"18,000"
9791195733781,216,9.0,"14,220"
9791195733712,12,9.6,"12,600"
9791195718870,"1,356",9.5,"16,200"
9791195718863,"1,014",9.5,"9,450"
9791195718856,726,9.7,"9,900"
9791195718832,"8,322",9.6,"10,800"
9791195718818,768,9.6,"8,820"
9791195718757,"1,176",9.5,"9,900"
9791195717422,36,9.7,"10,800"
9791195716937,,9.0,"14,220"
9791195716906,,9.4,"13,500"
9791195695928,12,9.5,"11,520"
9791195689514,102,10.0,"9,900"
9791195682751,192,9.7,"10,800"
9791195679843,252,10.0,"8,820"
9791195677368,66,10.0,"11,700"
9791195677313,306,9.5,"10,800"
9791195677153,"8,049",9.4,"15,300"
9791195677108,"6,228",9.5,"13,500"
9791195668229,,9.7,"10,800"
9791195658527,252,8.9,"11,700"
9791195656974,627,9.7,"9,900"
9791195655571,738,9.5,"25,200"
9791195650118,,10.0,"12,600"
9791195641376,"2,448",9.8,"11,700"
9791195641369,,10.0,"10,800"
9791195634057,"2,031",9.5,"16,200"
9791195631575,"1,296",9.7,"12,600"
9791195631551,204,9.5,"9,900"
9791195630974,"2,319",9.7,"9,000"
9791195630950,"5,970",9.6,"9,000"
9791195630912,750,9.6,"8,100"
9791195630905,,,
9791195628117,198,10.0,"13,050"
9791195624058,,9.4,"11,700"
9791195624010,852,9.4,"10,800"
9791195618460,666,7.4,"14,400"
9791195618453,"2,148",9.5,"14,850"
9791195616138,,9.6,"17,550"
9791195612246,948,7.4,"13,500"
9791195612208,"2,883",8.9,"13,500"
9791195588602,"18,894",9.4,"14,400"
9791195578511,84,8.0,"16,200"
9791195575916,"2,400",9.3,"14,850"
9791195568758,,9.6,"15,120"
9791195567614,,,"10,800"
9791195556182,888,9.8,"11,700"
9791195556144,786,9.8,"9,900"
9791195530335,84,9.3,"11,700"
9791195523542,270,8.5,"11,700"
9791195522149,"9,186",9.0,"12,600"
9791195522125,"30,699",8.4,"12,420"
9791195512201,,9.5,"13,500"
9791195512195,"2,631",9.9,"10,800"
9791195509447,,,
9791195508747,,9.5,"10,800"
9791195494941,588,9.7,"12,150"
9791195463800,,9.3,"13,500"
9791195450718,"1,002",9.7,"10,800"
9791195449422,,,"14,000"
9791195446575,732,9.7,"14,400"
9791195446551,,9.8,"15,120"
9791195445660,264,8.8,"10,800"
9791195444878,12,8.0,"13,320"
9791195434077,"5,517",9.7,"11,700"
9791195433643,"7,662",9.4,"12,600"
9791195419579,156,8.9,"11,700"
9791195412051,90,9.7,"17,100"
9791195386635,72,8.5,"10,800"
9791195382316,12,10.0,"9,000"
9791195380114,,,
9791195342068,858,10.0,"11,700"
9791195342051,"1,566",9.7,"11,700"
9791195342044,672,9.8,"11,700"
9791195342020,,9.6,"9,900"
9791195339761,96,9.5,"10,800"
9791195339716,426,9.6,"10,800"
9791195336708,,9.5,"11,700"
9791195328246,552,10.0,"9,900"
9791195328222,,8.5,"9,000"
9791195322190,150,8.8,"13,320"
9791195295753,,,
9791195295708,102,9.2,"8,550"
9791195279487,24,9.8,"13,950"
9791195275557,"2,118",9.3,"13,500"
9791195274871,36,9.6,"11,700"
9791195274833,18,9.8,"10,800"
9791195269563,96,10.0,"11,700"
9791195269532,24,10.0,"11,700"
9791195269112,,9.3,"13,500"
9791195260959,,9.0,"11,700"
9791195260218,,8.2,"11,700"
9791195248506,,8.7,"9,720"
9791195247943,144,9.1,"11,700"
9791195245758,,9.2,"22,500"
9791195217540,,9.1,"19,800"
9791195212163,"3,630",9.9,"13,500"
9791195196685,"6,117",10.0,"14,400"
9791195177943,60,9.0,"14,400"
9791195177905,,8.8,"14,400"
9791195153886,"8,010",9.4,"12,420"
9791195140060,240,9.8,"9,000"
9791195140053,258,9.8,"9,000"
9791195138166,,,"13,500"
9791195132560,"2,838",9.5,"27,000"
9791195121007,,9.8,"9,900"
9791195115808,"12,465",9.4,"14,400"
9791195096220,150,8.8,"10,800"
9791195096213,162,8.9,"10,800"
9791195088355,156,9.3,"11,700"
9791195083084,,9.2,"6,750"
9791195083077,,9.2,"6,750"
9791195083060,,9.4,"6,750"
9791195073528,324,9.6,"10,800"
9791195061440,,9.0,"12,420"
9791195037988,12,8.5,"12,150"
9791195037957,,9.3,"11,700"
9791195037933,,9.3,"11,700"
9791195037926,,8.0,"11,700"
9791195037919,,9.3,"11,700"
9791195035854,96,8.4,"10,800"
9791195030514,,9.2,"11,520"
9791195030507,,9.0,"11,520"
9791195026135,"8,157",9.4,"20,700"
9791195026128,"30,645",9.4,"16,200"
9791195023172,168,9.5,"9,000"
9791195023165,270,9.2,"8,100"
9791191998009,456,9.9,"13,500"
9791191903010,462,8.6,"23,400"
9791191891027,"9,411",9.2,"14,400"
9791191883015,12,9.9,"17,100"
9791191842036,"1,272",9.6,"13,500"
9791191827019,564,9.9,"11,700"
9791191826005,"2,772",9.5,"11,520"
9791191825176,"5,868",9.5,"14,850"
9791191825084,"6,504",9.3,"16,020"
9791191825053,"1,446",9.7,"12,420"
9791191825046,"4,566",9.4,"13,950"
9791191825039,"1,020",,"12,420"
9791191825022,12,8.6,"14,850"
9791191824056,450,9.6,"12,150"
9791191824001,"72,315",9.6,"13,500"
9791191777055,774,9.6,"12,600"
9791191769029,,,
9791191766844,498,9.2,"13,500"
